Username,Password,Hakbatza,Class
Shirley,tJphjhl4PM,2,7
Keren1486,1Ikuzp3OgC,2,10
Matan9128,GarfAwSqSG,2,12
Tamar3680,bqT1nzzR3n,3,6
Yotam,CWnxUYvYQD,3,12
Shmuel1734,XS8e8nsjnu,3,11
Tom8205,G2HPowXjla,1,2
Yoni1579,6slvbLNBOE,1,8
Yitzhak6730,BiuwyItpro,1,10
Gideon7235,q4XzdbsSqS,3,10
Yoel,zZ0da4NC4O,3,2
Tal,xmuQmgQ6Mn,3,7
Shmuel,omkwjstpSi,2,1
Shalom1604,aa1stMeBXz,1,4
Aviad8406,dzFYlRyE5d,1,11
Erez2138,LHOxz3KywQ,1,10
Amalia4245,WyItOx6Y1k,2,9
Arik5308,wJB7TitAtL,2,4
Yoav,wBi1ZutKvE,3,11
Iris8953,p5GdpGCxFB,2,4
Dror4413,DfFiFRYW42,2,6
Shaked1540,J4ecLp1Y7c,1,2
Yaelle9094,O1unEVigyA,2,6
Yocheved,xSJhuELPib,2,7
Hadar5460,hlekKOI803,1,6
Yohanan,z9O8aNUqnm,3,1
Aviad,vMU1XvYNyp,2,10
Idan,5624xqBV5C,2,8
Yechiel2379,Diz8Kvp3LF,1,7
Yechiel8576,blEgm2IwzW,3,12
Vardit753,U3VTE0CfAU,1,3
Tamar,hnZsApu27z,1,12
Nili,IeyJeqMhfU,1,9
Dudu7621,BuHYvc6BDz,2,8
Noam,oFjom403F4,2,5
Tzipi1883,zevCI9YCkT,2,11
Lilach6642,CuHjwSXhTI,2,3
Bracha8036,53mgQcgQWr,2,10
Iris,VDQ986cd0E,2,5
Yair2179,ktbIzIIOuY,2,8
Shmuel3838,eNB3LVnqM5,3,12
Uri,CmpPFNGicV,1,5
Chaya8681,KMTEeFLdVC,2,1
Michal,MxIeBFUMtY,2,3
Rina,U6uJisImaK,3,1
Yossi4015,s4TCza20zP,1,11
Ilanit5060,RxaxJHOkel,2,2
Yaelle2836,o8ppNkGOme,2,3
Yoel2644,MRXZqVqsQx,2,10
Moran3490,CCFNenKS6Z,1,1
Shira2672,6QdXIsaezk,1,3
Rina6716,Ws2w2mNr0T,2,3
Nechama,cAgQNdgIx9,3,5
Lilach4779,aGZAe8h43h,2,8
Tova6573,JgG8QP7uck,1,10
Udi5857,HQdAemExeL,2,12
Vardit7907,5XLvhJQPGF,3,8
Stav1658,EFr6qZWdKz,3,4
Yossi9501,m948nJBu1f,3,9
Amira,wg4TbFl1qH,2,12
Avi386,5LEqEm7uQm,2,8
Yoav1646,p9S6odQnBe,1,7
Dudu,GrxDetCxPp,3,11
Moti1925,0abrq9UDOK,1,5
Yuval,yxxtW2SoJ7,3,3
Yehudit3439,uNyrfVoxM8,3,7
Irit,bmY0oEgIhE,1,7
Tuvia6024,dLhRDzLU7Z,1,2
Tova9153,cTaOesFhcy,3,6
Dana,IfC7G9vttK,2,1
Sigal,SLQiFDjnyM,2,12
Eli,Ujw9jyRTGF,3,3
Ruth,nLQ097QeZZ,3,9
Dikla3823,laXR6CXGEd,3,3
Yaelle7712,qCrpZQYwts,2,6
Rachel,zPIXkVVRIh,2,8
Yael6140,yl6pALU95U,3,11
Yuval871,uW1mv2nwew,3,1
Omri5963,PkHz3Fl9Qs,2,7
Yitzhak6964,Y8OhnhxsrR,3,1
Yaeli,LkknOkbSqk,2,5
Ilanit,9ehxg7WPTr,3,9
Shir7447,bBukFxg8Uk,3,8
Esti2806,8MeIPJU4F0,2,3
Iris5212,DbxMLlvu7V,3,2
Natan4529,nnQxGAJRbQ,2,7
Noam2968,etZb5JMYT4,1,1
Motti,UdyvQj5oCY,1,1
Gal6037,d3WAQZ8p4U,2,8
Nechama5368,o1WYVwcsee,2,1
Shani6864,txOqzfPOlg,2,10
Michal6806,eXorXMNbQr,2,6
Yair,TE16u93Mf2,1,9
Ron9550,OR98upfJY2,1,3
Kfir456,90kA2zEAnZ,1,5
Revital655,XDsuoUwStc,2,9
Gideon1084,A7M1OOPDt1,3,6
Tal6638,OYIUvKWQ5C,3,6
Amram,tePZuRikC4,2,1
Guy,kyCowri24g,3,7
Amira4246,B70lWPTDaj,1,9
Kfir2688,bZLbGQ2bsP,2,9
Rina7770,OxatlxvnAu,3,3
Tamar3964,sPqvCjGA5s,2,1
Alon,nWhcz64mvv,3,9
Dafna9083,Gjyfi7Gcco,3,11
Sigal8604,TLFk0gjCV2,1,6
Shira9097,4RXv8s8j1K,3,1
Yfat,ZBuTsEdAoY,1,5
Keren7544,FyglaXgG8J,3,7
Yfat1672,qTPn0s6iZi,3,5
Oz,aqnF8CACYR,3,9
Dafna,gXzPwT45hZ,1,7
Lilach8764,YXgbspgHdf,1,7
Lilach,jlxgJdiPyT,1,6
Dudi,9RixObDTqD,2,2
Vered,zFB4TUjwDx,1,10
Lilach2205,Aqb0vbZZkN,1,8
Liat9408,PhBLMI5SMT,2,7
Roi9898,yy0VvQf1a2,2,10
Yishai3414,6T7quu6wHc,1,8
Ofira,2jRSh3xOqr,1,1
Yulia78,MDD10ZRVHV,3,11
Tova,ahRKnXLe1b,3,4
Shira,cfhgFNlvn6,1,6
Dikla6731,El45pNHrPK,3,7
Amram4898,Fm9DT9LUjC,1,3
Adva,yi3X7VBzAo,2,3
Amit,RdwqEZytF9,2,8
Yiska4315,I6gUV8KHQ4,2,3
Yael2580,eW7PBa85Qa,1,1
Gadi8688,OZRpIG19q1,1,8
Chaya9289,PwvwhBYf0l,1,9
Amira9390,O3vkZmr7i9,3,1
Avraham9344,BE6JQ27oIA,2,7
Tuvia,x6qbhbwitv,3,7
Orit3713,rmJ7p6TzPF,1,8
Yocheved8045,wr7oCrK0R9,1,7
Shulamit9291,kFsaYiZZ1K,2,4
Aviad9839,NEE86f5znt,2,8
Tali4817,W2h9gNevPb,2,9
Shani,ZgPOwCg3Kp,1,3
Yossi8980,Bhzuaqomc1,2,5
Leah7630,s6i6Ypt8R3,3,12
Anat,eBXdNAM1gr,1,10
Alon502,ltOKCbRVwl,1,5
Tomer9955,PL4srjuYL7,3,7
Yulia8617,UDNoc7bTEq,3,11
Avraham9932,pGmacN8QMX,3,9
Hadar2238,xivJ0pLWKQ,2,8
Shmuel3395,cqfWTVPMyx,3,1
Shlomit,OSLE1V2nSs,1,9
Amos,QGk1HQ62ed,3,2
Zeev4451,O9BaIGB6dh,3,12
Yaelle,7bm0tJ1dSj,1,9
Shulamit407,0JPNANPigQ,3,2
Asaf,YyntCvI5D3,1,2
Moti,L6obiwBYaK,2,11
Omer8052,qfqrfH7KM7,1,5
Osnat9682,79PEaOCB5b,1,6
Yifat8738,AuVibG9ACL,3,12
Yifat,SRQjkoS7Hr,2,1
Lior5292,UMYHWdSEA5,1,11
Lilach795,3z9QUuqryt,3,6
Amram2249,h11IZWsHHc,2,11
Noga,R9vdVJwBBT,1,9
Natan5436,RCTweUFVm8,2,2
Maya728,YKwVmNS2JX,2,11
Yonina,FP2twBRGb0,3,10
Bracha8694,ixYiAsslbl,1,7
Rafael,mDE3IEfIGF,1,5
Stav1982,e3H4tSN4CJ,3,3
Yigal1010,Xe0Tgnwdpy,1,4
Tomer4165,GQrlRUXSbZ,2,7
Lilach1093,49iU3hKBx6,2,6
Gadi9935,IYoQiIBkIl,3,2
Ronen3956,geqeMRrxjt,3,5
Tali5497,CyGjqC83Rl,2,9
Elad,hKiZhcuNfp,1,4
Idan1282,rH1A7bWUyo,1,1
Yehonatan4086,eVLh2pwcZu,2,2
Yiftach8620,sx3LRiOXW5,1,12
Yehonatan,XojNbXFc1y,3,11
Orit,3WbYgTLVIa,1,7
Ami4562,6kIopnfAzo,2,1
Gal7573,FCWA9aPsJn,3,8
Yonatan,lwUoCVPrz9,3,4
Sharon,nhoEc5PU1U,2,5
Yariv9259,VygIbMGA9A,2,12
Yiska8496,PJN8gOXoru,3,11
Yotam3499,resuBx6qon,2,3
Dana65,NQcX4m6Q8o,3,5
Yehudit848,8zw5Wy8Yvv,1,4
Yifat8674,80xdiLDrCm,2,3
Eli9910,AG2b8AFM5U,1,11
Shlomo5543,WULRX2tPFf,1,3
Shani1927,P05d5l7POE,3,5
Hadar,pjwrSd5LxR,2,10
Matan,JEb0xXJciI,3,5
Itai,5xnT7Szkps,2,4
Ofir6238,08pqfKxXJ9,3,4
Leah9650,63ZVA7kKmU,3,5
Zohar,kPKOfD33O4,1,4
Yehudit,ZLCzpOAL3j,1,5
Esti4521,2MnuvqQ9yV,3,3
Avi265,O6Vy30gn9c,1,9
Yocheved8581,FkJBtPe2s2,2,9
Alon1477,yWRNioswz0,2,12
Limor4102,2MGAaD8Epi,1,6
Sarit3910,R96xYs8jme,1,1
Zvi,TKF0xiSE8j,2,11
Avital,dHE40YetIq,1,1
Revital,BsHO37NymP,2,5
Vardit5989,YcJ3BLWsn1,3,6
Sivan5784,VR2bP3z9qh,1,2
Roi9481,k1GG23Sjp7,3,2
Shulamit7679,uNEBmh23lS,3,8
Amir2862,KdnKgIXx50,1,4
Yakov,sdNjH0KBFx,2,10
Yishai804,h5yU0zQDJI,1,3
Eitan6732,j5p8rD2XEz,1,12
Shulamit6853,rY86mcU9LH,3,1
Dror,ZDY7ngjKxt,3,8
Yigal,mTYnypq6cf,1,9
Avi5187,q3WHdwImbn,2,11
Orly4755,5Q9P088RiX,3,10
Yitzhak4371,mh2KwlJubZ,3,5
Orly,aVuiep6BZ7,3,9
Shlomo5091,IMprxtHKnh,1,5
Moti7600,g3uwWZ4AGp,1,10
Asaf6441,Y63RLoT3X1,2,8
Gadi2968,9CEbUG1ZxB,3,4
Yonatan3609,kNhcozFrA0,2,8
Yehuda,IkmsED6JpL,2,3
Yonina4263,7vqCB4223K,2,12
Keren,pV2zMK8U14,1,12
Rachel9622,7OC6pNVP3s,2,3
Vered3101,Zb7hw5Qsxe,1,2
Nir,rtn5hW9LFp,1,6
Sigalit9222,ODXT2MJnOa,1,9
Gideon9301,aQaMbn1hMS,2,8
Shira5512,uyBsUgwcnn,3,5
Alon3413,mE3neEytBM,3,9
Eitan1827,XnQ1Ew1IaV,3,8
Aviad689,RKzSLLNCU4,1,7
Yariv,BEgZNsK6Ak,3,11
Yoni9963,6taYdi3G61,2,1
Gal,ey8yLjnQdE,1,7
Shir,tJ3Mq1o2fc,3,3
Leah5996,gKSCHnKhPg,2,11
Yaniv,vWaGbvFcsF,3,5
Avital8822,2S44RwIglE,2,2
Yotam3980,vNFhOxfLRZ,2,8
Natan8583,QBOG455hKb,1,4
Limor921,mfyfvgtnKR,3,12
Oren1210,kMl0FgpWDQ,2,4
Omri,43n6VuV94a,3,12
Liat,vLga7pmE95,3,1
Yechiel,Lew05c7zhb,2,10
Bar,MsOYUJ9lYY,2,4
Lilach8672,lOLJokZtuD,2,2
Yifat8378,wDF0m3gWxQ,1,12
Yfat8008,OLfeAN2hGl,2,6
Oded,naPMe7aC36,2,2
Yuval7148,9cNGQvUccG,1,11
Nimrod,lgWuD8bYGp,2,4
Ofir,rCkBsB6p43,3,1
Gideon5543,HbNv0TOhg6,3,10
Udi,DL925Qee9K,2,8
Dudi8720,jtB87JAU2t,1,8
Noa,jY2qna1WjO,2,1
Nurit,yuB3FMjX2L,2,3
Asaf2639,zHqMcoS6pz,1,2
Leah6624,NbYsY5Qxwj,1,2
Asaf7800,UiYBdKOmVy,3,2
Inbar,0EzBxR4XT1,3,8
Ronen5895,GilxB2UJX3,3,2
Ayelet6650,CuJdbTRBav,2,5
Sivan,iQztM9e9Dp,3,1
Yuval3122,F9lgkA2p61,2,10
Oz6459,p3llVZEpB7,2,8
Sharon3110,f19awBytND,1,9
Yaelle2993,ysaMph2u6y,1,12
Shirley1309,WDQXJZxtgI,3,8
Nirit,2uZAQCJGRr,2,5
Shalom7289,hbwaJGgYQ4,1,12
Tom6857,EBCGrRKYFh,3,1
Gideon,ZMw3b11E49,2,5
Iris7323,5E7yjF4ZoH,2,1
Zvi9659,8aoT4cLHU8,3,7
Ilanit5738,foZGIt6gAl,3,10
Noam8049,9j3s7NEHUi,1,12
Omri9575,J22oa6kGUv,2,3
Anat7863,ql8ryPdjDp,1,4
Noya,xCGJBlGRuE,1,12
Lilach9288,l7sWcPDJeJ,1,8
Hadar5386,5SnQwpIYrR,2,4
Noa4796,YMW2qJQw5Z,1,12
Shalom,WPKJ1P6ahO,3,11
Nurit3356,nUChlRiUhM,2,2
Yulia8693,RoBc4m9e1c,2,10
Noam6461,5yX2Dx2IfZ,2,10
Alon6049,fWhMnuXO1i,1,5
Orly5064,Cs7GAzobcK,1,7
Yitzhak6656,Q0vlt8Fa6z,3,1
Dror2197,6LWSPAnk8f,1,4
Yulia,waVqofoFzS,1,12
Yossi4647,9DqsJqaayV,1,11
Tamar1673,XJbzYFQKns,2,11
Yair5600,5ad96SCFWe,1,4
Shani578,pcO8k5hIzz,1,3
Einav,ab6zvKjYvv,2,12
Yariv8887,nhyFPjBeEk,3,6
Sigal5046,ltyRH1WCyP,1,2
Hodaya,c5jw4rfzSq,3,10
Nir5487,jlZeddfAoL,3,2
Lilach207,aq5UrY88Xb,2,5
Yiska,1YojzQ85Ys,3,8
Hila,KjAz0FRfRx,1,11
Uri2236,8W4Uvj79YM,1,4
Bar2222,tNiDTVLC9o,1,2
Leah,TbtJetrZWs,1,10
Amalia5072,ubtqqMLxin,1,11
Adva3086,MIV3geRmeX,3,8
Eyal,h0NfYNB5s9,2,8
Tova9899,wDzk9ric7R,2,8
Shani3433,W7YA69FEFo,2,4
Uri3179,9S7uOiOtCy,2,1
Arik9401,sh10I5E9X6,2,7
Roi1325,TB7oBctZon,1,11
Arik,84Cs8OPQuS,1,7
Shmuel592,bbOot7PThO,1,4
Matan6372,5pJAuuVlWE,1,3
Moran134,wHx4ZgUXtW,2,7
Noa437,t3Cf9UgYwt,3,12
Yossi,daU3gwIkpf,2,7
Sigalit,ILBiWHYLks,3,5
Erez1282,JrJIRU52k0,3,6
Lior,Riwk6GqBwP,3,4
Shoham8629,trC1qDXdF9,3,8
Yiftach7472,q1HzHVbhix,2,2
Sapir,GYtWh0cJXF,3,11
Amir2598,lHjidMDubR,2,3
Revital9592,AW87tbnGHc,3,7
Amalia,sMMEcTLn3I,1,12
Sapir895,nqFPXohMAl,1,2
Limor,28VuI2x1JP,3,11
Zeev,2jg9sI4jSI,3,12
Avraham891,p90ekmDhpk,1,7
Osnat3192,E4Qevutoey,1,2
Esti5198,jRNF6ARlJa,2,3
Alon3149,6HyNUV2cUz,3,11
Orly51,hshiYXuOYL,1,4
Sarit,IZWm7kXRE5,3,11
Yishai,HDmysGYM4P,2,11
Dror8570,CvJaFxl6tu,2,12
Vered1699,B0kGin1a4g,3,4
Yohanan371,szY4hwpGtI,2,9
Oren,ljmb68hXMG,2,4
Sivan4483,XcXfccCBgD,1,9
Sivan8326,gFIhG41WW6,1,10
Nurit4103,Pl3G7MlujY,2,8
Irit6913,ZEQoFDYlwp,1,9
Yiftach,5yQFFDIUgt,1,9
Omri5947,tb9se9Q8X1,2,8
Yfat9326,2SKARwRcjw,2,5
Vardit1087,sbwgTwwJZl,2,7
Shirley9825,qLngJeZOFp,3,11
Yiftach9761,UlMRLKeRSt,1,12
Yoni,VCVU8pGPew,1,1
Sigal712,a7nrkDhX5L,2,8
Shlomo,NVVNlIDDGu,3,6
Dikla,Z0PXqp3htf,3,10
Yehuda5382,nsFMd8Z40G,3,9
Gadi,EPznt0oa5v,3,9
Erez,HOh3YMI5CU,2,3
Rachel3250,oo7OfU2LNs,2,6
Eran,GzJpuO4aVA,1,6
Yigal4577,LFguOA3E4f,3,2
Guy9946,ScHd0W4chW,3,3
Tom,urm8nUg411,3,1
Shmuel3001,x1FxrJK0Xu,2,6
Eitan7600,3dfit6Twtx,3,9
Shirley5294,KOso9fmKNx,2,7
Yanai,CpiIDRXOu9,2,3
Ayelet2331,V0rquUQRm5,3,8
Yishai2209,LeH2mdvIXD,2,10
Tomer1314,ropXCAdbo6,3,2
Nir8054,zv3oSl525Z,1,8
Lilach3834,e7SWVXdlXA,3,2
Yanai2080,kJRQ34sULj,3,10
Adi,5MloiipGAj,3,9
Osnat,FKhNkVUVZk,1,7
Alona,ZP88AfVqfd,2,3
Yaeli8083,sCvoE07rJP,1,4
Amira9464,yMZD8KyjXn,3,5
Yair407,lRLFxssZwY,1,8
Kfir5453,PobxLamyKh,1,9
Einav7278,7PWT25I8LF,3,10
Ofira917,ef8t6cGLK3,1,12
Yoni4650,ZZ9a4LcvWr,3,5
Orly3565,yL3cBeqfFE,1,7
Bracha,zIcxpxCOM9,1,9
Amir,jEp0nPa1TT,1,11
Shulamit,cSTc7KyTMQ,3,7
Revital9774,NJXhOOyfLS,2,4
Roi,BHOwWNt6M8,3,11
Gideon8995,wEg9wRBieT,2,12
Tzipi,NsmT5uUadL,3,6
Avi,ycg0g0uw4A,1,9
Avi3546,aHJ3O2X67e,1,6
Shulamit1324,UwlCn4CwzP,2,2
Yitzhak,ciin8yNevE,2,11
Yehoshua,JlxKkGRLwC,1,2
Asnat,vA9DOBqwq2,2,7
Shira7205,RcSNBfRW10,1,7
Maya,Blx8LM0W6r,2,4
Noa1394,f6myHcnEcp,2,8
Yifat4581,s41XMAvYRy,3,10
Orit5861,MbqtyXYn4i,1,9
Ilanit6753,6JKL9WlAnj,3,4
Moti9269,i35q31zV60,1,3
Ophir2711,iYxTpj0HGm,3,2
Yossi9263,spCwycCq3H,1,5
Eitan4767,Nr1Azsks94,3,7
Avital1065,2K7TCc86qz,3,3
Rachel4111,23oJ96wKUw,3,6
Yishai2080,PgDJU732oD,3,9
Ayelet,SXdxWupWQU,3,4
Tzipi1745,yX4bwaS7lB,3,1
Lilach9051,Px3ZbgsbDT,3,12
